26 2022/08/09 11:28:21,705 3373 [DEBUG ] [TestNG-test=EdgefoxTest-3] handler.ssl.JdkSslContext handler.ssl.JdkSslContext.<clinit>(JdkSslContext.java:97) - Default protocols (JDK): [TLSv1.3, TLSv1.2] 
27 2022/08/09 11:28:21,706 3374 [DEBUG ] [TestNG-test=EdgefoxTest-3] handler.ssl.JdkSslContext handler.ssl.JdkSslContext.<clinit>(JdkSslContext.java:98) - Default cipher suites (JDK): [TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_AES_128_GCM_SHA256, TLS_AES_256_GCM_SHA384]
28 2022/08/09 11:28:21,744 3412 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.channel.MultithreadEventLoopGroup netty.channel.MultithreadEventLoopGroup.<clinit>(MultithreadEventLoopGroup.java:44) - -Dio.netty.eventLoopThreads: 16
29 2022/08/09 11:28:21,757 3425 [DEBUG ] [TestNG-test=EdgefoxTest-3] channel.nio.NioEventLoop channel.nio.NioEventLoop.<clinit>(NioEventLoop.java:109) - -Dio.netty.noKeySetOptimization: false
30 2022/08/09 11:28:21,758 3426 [DEBUG ] [TestNG-test=EdgefoxTest-3] channel.nio.NioEventLoop channel.nio.NioEventLoop.<clinit>(NioEventLoop.java:110) - -Dio.netty.selectorAutoRebuildThreshold: 512
31 2022/08/09 11:28:21,876 3544 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:155) - -Dio.netty.allocator.numHeapArenas: 16
32 2022/08/09 11:28:21,877 3545 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:156) - -Dio.netty.allocator.numDirectArenas: 16
33 2022/08/09 11:28:21,877 3545 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:158) - -Dio.netty.allocator.pageSize: 8192
34 2022/08/09 11:28:21,877 3545 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:163) - -Dio.netty.allocator.maxOrder: 9
35 2022/08/09 11:28:21,878 3546 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:167) - -Dio.netty.allocator.chunkSize: 4194304
36 2022/08/09 11:28:21,878 3546 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:168) - -Dio.netty.allocator.smallCacheSize: 256
37 2022/08/09 11:28:21,878 3546 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:169) - -Dio.netty.allocator.normalCacheSize: 64
38 2022/08/09 11:28:21,879 3547 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:170) - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
39 2022/08/09 11:28:21,879 3547 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:171) - -Dio.netty.allocator.cacheTrimInterval: 8192
40 2022/08/09 11:28:21,879 3547 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:172) - -Dio.netty.allocator.cacheTrimIntervalMillis: 0
41 2022/08/09 11:28:21,880 3548 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:173) - -Dio.netty.allocator.useCacheForAllThreads: false
42 2022/08/09 11:28:21,880 3548 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:174) - -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
43 2022/08/09 11:28:21,895 3563 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:87) - -Dio.netty.allocator.type: pooled
44 2022/08/09 11:28:21,896 3564 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:96) - -Dio.netty.threadLocalDirectBufferSize: 0
45 2022/08/09 11:28:21,896 3564 [DEBUG ] [TestNG-test=EdgefoxTest-3] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:99) - -Dio.netty.maxThreadLocalCharBufferSize: 16384
46 2022/08/09 11:28:22,256 3924 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:79) - -Dio.netty.processId: 4684 (auto-detected)
47 2022/08/09 11:28:22,259 3927 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:136) - -Djava.net.preferIPv4Stack: true
48 2022/08/09 11:28:22,260 3928 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:137) - -Djava.net.preferIPv6Addresses: false
49 2022/08/09 11:28:22,305 3973 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtilInitializations netty.util.NetUtilInitializations.determineLoopback(NetUtilInitializations.java:129) - Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
50 2022/08/09 11:28:22,307 3975 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil$SoMaxConnAction.run(NetUtil.java:191) - Failed to get SOMAXCONN from sysctl and file \proc\sys\net\core\somaxconn. Default: 200
51 2022/08/09 11:28:22,434 4102 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:101) - -Dio.netty.machineId: d4:1b:81:ff:fe:59:ab:63 (auto-detected)
52 2022/08/09 11:28:22,501 4169 [DEBUG ] [AsyncHttpClient-1-3] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:63) - -Dio.netty.buffer.checkAccessible: true
53 2022/08/09 11:28:22,502 4170 [DEBUG ] [AsyncHttpClient-1-3] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:64) - -Dio.netty.buffer.checkBounds: true
54 2022/08/09 11:28:22,502 4170 [DEBUG ] [AsyncHttpClient-1-3] netty.util.ResourceLeakDetectorFactory netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(ResourceLeakDetectorFactory.java:196) - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@4fbf8900
55 2022/08/09 11:28:22,532 4200 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:85) - -Dio.netty.recycler.maxCapacityPerThread: 4096
56 2022/08/09 11:28:22,533 4201 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:86) - -Dio.netty.recycler.ratio: 8
57 2022/08/09 11:28:22,534 4202 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:87) - -Dio.netty.recycler.chunkSize: 32
58 2022/08/09 11:28:22,534 4202 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:88) - -Dio.netty.recycler.blocking: false
59 2022/08/09 11:28:48,546 30214 [DEBUG ] [AsyncHttpClient-1-2] codec.compression.Brotli codec.compression.Brotli.<clinit>(Brotli.java:38) - brotli4j not in the classpath; Brotli support will be unavailable.
60 2022/08/09 11:36:40,034 501702 [INFO  ] [TestNG-test=EdgefoxTest-2] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:318) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (57d81cf6819e0945781b34f5a7a52ac4)] -> xpath: //button[@title='Search']]
61 2022/08/09 11:36:45,435 507103 [INFO  ] [TestNG-test=Chrometest-2] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:318) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (72fbd11312211011a5211c1918867713)] -> xpath: //button[@title='Search']]
62 2022/08/09 11:36:51,343 513011 [INFO  ] [TestNG-test=EdgefoxTest-2] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:321) - element clicked : [[RemoteWebDriver: chrome on LINUX (57d81cf6819e0945781b34f5a7a52ac4)] -> xpath: //button[@title='Search']]
63 2022/08/09 11:37:00,035 521703 [INFO  ] [TestNG-test=Chrometest-2] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:321) - element clicked : [[RemoteWebDriver: chrome on LINUX (72fbd11312211011a5211c1918867713)] -> xpath: //button[@title='Search']]
64 2022/08/09 11:37:00,948 522616 [INFO  ] [TestNG-test=EdgefoxTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:318) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (72fbd11312211011a5211c1918867713)] -> xpath: //a[text()='Women']]
65 2022/08/09 11:37:02,658 524326 [INFO  ] [TestNG-test=Chrometest-4] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.getAttribute(BaseMethod.java:442) - Trying to href attribute value from DOM
66 2022/08/09 11:37:03,836 525504 [INFO  ] [TestNG-test=Chrometest-4] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.newTab(BaseMethod.java:129) - New tab opened 
67 2022/08/09 11:37:08,842 530510 [INFO  ] [TestNG-test=Chrometest-3] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.selectByVisibleText(BaseMethod.java:296) - Trying to select element Value from Dropdown
68 2022/08/09 11:37:18,855 540523 [INFO  ] [TestNG-test=Chrometest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:318) - Trying to click on element: Proxy element for: DefaultElementLocator 'By.xpath: //a[text()='Women']'
69 2022/08/09 11:37:19,036 540704 [INFO  ] [TestNG-test=EdgefoxTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:321) - element clicked : [[RemoteWebDriver: chrome on LINUX (72fbd11312211011a5211c1918867713)] -> xpath: //a[text()='Women']]
70 2022/08/09 11:37:26,935 548603 [INFO  ] [TestNG-test=FirefoxTest-5] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.mouseHover(BaseMethod.java:627) - Trying to mouse hover on element [[RemoteWebDriver: chrome on LINUX (635e94da9551f0976f831b08207aca3c)] -> xpath: //a[text()='Home & Decor']] using Actions class
71 2022/08/09 11:37:29,634 551302 [INFO  ] [TestNG-test=EdgefoxTest-5] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.mouseHover(BaseMethod.java:627) - Trying to mouse hover on element [[RemoteWebDriver: chrome on LINUX (635e94da9551f0976f831b08207aca3c)] -> xpath: //a[text()='Home & Decor']] using Actions class
72 2022/08/09 11:37:41,455 563123 [INFO  ] [TestNG-test=Chrometest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:321) - element clicked : [[RemoteWebDriver: chrome on LINUX (635e94da9551f0976f831b08207aca3c)] -> xpath: //a[text()='Women']]
73 2022/08/09 11:37:42,436 564104 [ERROR ] [TestNG-test=EdgefoxTest-5] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.mouseHover(BaseMethod.java:639) - [[RemoteWebDriver: chrome on LINUX (635e94da9551f0976f831b08207aca3c)] -> xpath: //a[text()='Home & Decor']] StaleElementReferenceException 
74 2022/08/09 11:37:43,036 564704 [ERROR ] [TestNG-test=FirefoxTest-5] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.mouseHover(BaseMethod.java:639) - [[RemoteWebDriver: chrome on LINUX (635e94da9551f0976f831b08207aca3c)] -> xpath: //a[text()='Home & Decor']] StaleElementReferenceException 
75 2022/08/09 11:38:03,637 585305 [INFO  ] [TestNG-test=Chrometest-5] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.mouseHover(BaseMethod.java:627) - Trying to mouse hover on element [[RemoteWebDriver: chrome on LINUX (635e94da9551f0976f831b08207aca3c)] -> xpath: //a[text()='Home & Decor']] using Actions class
76 2022/08/09 11:38:13,453 595121 [INFO  ] [TestNG-test=EdgefoxTest-4] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.getAttribute(BaseMethod.java:442) - Trying to href attribute value from DOM
77 2022/08/09 11:38:23,755 605423 [INFO  ] [TestNG-test=FirefoxTest-4] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.getAttribute(BaseMethod.java:442) - Trying to href attribute value from DOM
