37 2023/04/14 16:56:22,327 2268 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:171) - -Dio.netty.allocator.normalCacheSize: 64
38 2023/04/14 16:56:22,327 2268 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:172) - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
39 2023/04/14 16:56:22,327 2268 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:173) - -Dio.netty.allocator.cacheTrimInterval: 8192
40 2023/04/14 16:56:22,327 2268 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:174) - -Dio.netty.allocator.cacheTrimIntervalMillis: 0
41 2023/04/14 16:56:22,327 2268 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:175) - -Dio.netty.allocator.useCacheForAllThreads: false
42 2023/04/14 16:56:22,327 2268 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:176) - -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
43 2023/04/14 16:56:22,336 2277 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:87) - -Dio.netty.allocator.type: pooled
44 2023/04/14 16:56:22,337 2278 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:96) - -Dio.netty.threadLocalDirectBufferSize: 0
45 2023/04/14 16:56:22,338 2279 [DEBUG ] [TestNG-test=KTtasksTest-1] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:99) - -Dio.netty.maxThreadLocalCharBufferSize: 16384
46 2023/04/14 16:56:22,682 2623 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:79) - -Dio.netty.processId: 6258 (auto-detected)
47 2023/04/14 16:56:22,684 2625 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:142) - -Djava.net.preferIPv4Stack: true
48 2023/04/14 16:56:22,685 2626 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:143) - -Djava.net.preferIPv6Addresses: false
49 2023/04/14 16:56:22,687 2628 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtilInitializations netty.util.NetUtilInitializations.determineLoopback(NetUtilInitializations.java:139) - Loopback interface: lo0 (lo0, 0:0:0:0:0:0:0:1%lo0)
50 2023/04/14 16:56:22,687 2628 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil$SoMaxConnAction.run(NetUtil.java:200) - Failed to get SOMAXCONN from sysctl and file /proc/sys/net/core/somaxconn. Default: 128
51 2023/04/14 16:56:22,689 2630 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:101) - -Dio.netty.machineId: bc:d0:74:ff:fe:f0:77:f0 (auto-detected)
52 2023/04/14 16:56:22,738 2679 [DEBUG ] [AsyncHttpClient-1-2] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:63) - -Dio.netty.buffer.checkAccessible: true
53 2023/04/14 16:56:22,739 2680 [DEBUG ] [AsyncHttpClient-1-2] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:64) - -Dio.netty.buffer.checkBounds: true
54 2023/04/14 16:56:22,739 2680 [DEBUG ] [AsyncHttpClient-1-2] netty.util.ResourceLeakDetectorFactory netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(ResourceLeakDetectorFactory.java:196) - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@1bc6659f
55 2023/04/14 16:56:22,755 2696 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:85) - -Dio.netty.recycler.maxCapacityPerThread: 4096
56 2023/04/14 16:56:22,755 2696 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:86) - -Dio.netty.recycler.ratio: 8
57 2023/04/14 16:56:22,755 2696 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:87) - -Dio.netty.recycler.chunkSize: 32
58 2023/04/14 16:56:22,755 2696 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:88) - -Dio.netty.recycler.blocking: false
59 2023/04/14 16:56:27,369 7310 [DEBUG ] [AsyncHttpClient-1-2] codec.compression.Brotli codec.compression.Brotli.<clinit>(Brotli.java:38) - brotli4j not in the classpath; Brotli support will be unavailable.
60 2023/04/14 16:56:27,468 7409 [DEBUG ] [TestNG-test=KTtasksTest-1] util.internal.ThreadLocalRandom util.internal.ThreadLocalRandom.newSeed(ThreadLocalRandom.java:214) - -Dio.netty.initialSeedUniquifier: 0xfc33ac83fcf96ac9
61 2023/04/14 16:56:55,775 35716 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:481) - Trying to click on element: [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //*[@id='bergerMenu']]
62 2023/04/14 16:57:01,420 41361 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:484) - element clicked : [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //*[@id='bergerMenu']]
63 2023/04/14 16:57:01,587 41528 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:481) - Trying to click on element: [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: (//a[text()='Home Users'])[1]]
64 2023/04/14 16:57:06,056 45997 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:484) - element clicked : [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: (//a[text()='Home Users'])[1]]
