27 2022/07/06 16:50:17,346 6289 [DEBUG ] [main] handler.ssl.JdkSslContext handler.ssl.JdkSslContext.<clinit>(JdkSslContext.java:98) - Default cipher suites (JDK): [TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_AES_128_GCM_SHA256, TLS_AES_256_GCM_SHA384]
28 2022/07/06 16:50:17,402 6345 [DEBUG ] [main] netty.channel.MultithreadEventLoopGroup netty.channel.MultithreadEventLoopGroup.<clinit>(MultithreadEventLoopGroup.java:44) - -Dio.netty.eventLoopThreads: 16
29 2022/07/06 16:50:17,429 6372 [DEBUG ] [main] channel.nio.NioEventLoop channel.nio.NioEventLoop.<clinit>(NioEventLoop.java:109) - -Dio.netty.noKeySetOptimization: false
30 2022/07/06 16:50:17,430 6373 [DEBUG ] [main] channel.nio.NioEventLoop channel.nio.NioEventLoop.<clinit>(NioEventLoop.java:110) - -Dio.netty.selectorAutoRebuildThreshold: 512
31 2022/07/06 16:50:17,527 6470 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:155) - -Dio.netty.allocator.numHeapArenas: 16
32 2022/07/06 16:50:17,528 6471 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:156) - -Dio.netty.allocator.numDirectArenas: 16
33 2022/07/06 16:50:17,528 6471 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:158) - -Dio.netty.allocator.pageSize: 8192
34 2022/07/06 16:50:17,529 6472 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:163) - -Dio.netty.allocator.maxOrder: 9
35 2022/07/06 16:50:17,529 6472 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:167) - -Dio.netty.allocator.chunkSize: 4194304
36 2022/07/06 16:50:17,530 6473 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:168) - -Dio.netty.allocator.smallCacheSize: 256
37 2022/07/06 16:50:17,530 6473 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:169) - -Dio.netty.allocator.normalCacheSize: 64
38 2022/07/06 16:50:17,530 6473 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:170) - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
39 2022/07/06 16:50:17,531 6474 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:171) - -Dio.netty.allocator.cacheTrimInterval: 8192
40 2022/07/06 16:50:17,532 6475 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:172) - -Dio.netty.allocator.cacheTrimIntervalMillis: 0
41 2022/07/06 16:50:17,532 6475 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:173) - -Dio.netty.allocator.useCacheForAllThreads: false
42 2022/07/06 16:50:17,533 6476 [DEBUG ] [main] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:174) - -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
43 2022/07/06 16:50:17,552 6495 [DEBUG ] [main] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:87) - -Dio.netty.allocator.type: pooled
44 2022/07/06 16:50:17,554 6497 [DEBUG ] [main] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:96) - -Dio.netty.threadLocalDirectBufferSize: 0
45 2022/07/06 16:50:17,554 6497 [DEBUG ] [main] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:99) - -Dio.netty.maxThreadLocalCharBufferSize: 16384
46 2022/07/06 16:50:19,630 8573 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:79) - -Dio.netty.processId: 20116 (auto-detected)
47 2022/07/06 16:50:19,636 8579 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:136) - -Djava.net.preferIPv4Stack: true
48 2022/07/06 16:50:19,637 8580 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:137) - -Djava.net.preferIPv6Addresses: false
49 2022/07/06 16:50:19,652 8595 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtilInitializations netty.util.NetUtilInitializations.determineLoopback(NetUtilInitializations.java:129) - Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
50 2022/07/06 16:50:19,653 8596 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil$SoMaxConnAction.run(NetUtil.java:191) - Failed to get SOMAXCONN from sysctl and file \proc\sys\net\core\somaxconn. Default: 200
51 2022/07/06 16:50:19,676 8619 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:101) - -Dio.netty.machineId: 70:9c:d1:ff:fe:87:fe:ec (auto-detected)
52 2022/07/06 16:50:19,773 8716 [DEBUG ] [AsyncHttpClient-1-2] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:63) - -Dio.netty.buffer.checkAccessible: true
53 2022/07/06 16:50:19,774 8717 [DEBUG ] [AsyncHttpClient-1-2] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:64) - -Dio.netty.buffer.checkBounds: true
54 2022/07/06 16:50:19,774 8717 [DEBUG ] [AsyncHttpClient-1-2] netty.util.ResourceLeakDetectorFactory netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(ResourceLeakDetectorFactory.java:196) - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@1f2b4649
55 2022/07/06 16:50:19,831 8774 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:85) - -Dio.netty.recycler.maxCapacityPerThread: 4096
56 2022/07/06 16:50:19,832 8775 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:86) - -Dio.netty.recycler.ratio: 8
57 2022/07/06 16:50:19,832 8775 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:87) - -Dio.netty.recycler.chunkSize: 32
58 2022/07/06 16:50:19,832 8775 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:88) - -Dio.netty.recycler.blocking: false
59 2022/07/06 16:50:21,095 10038 [DEBUG ] [AsyncHttpClient-1-2] codec.compression.Brotli codec.compression.Brotli.<clinit>(Brotli.java:38) - brotli4j not in the classpath; Brotli support will be unavailable.
60 2022/07/06 16:50:21,372 10315 [DEBUG ] [main] util.internal.ThreadLocalRandom util.internal.ThreadLocalRandom.newSeed(ThreadLocalRandom.java:214) - -Dio.netty.initialSeedUniquifier: 0x23d2ae5dc79307b6
61 2022/07/06 16:50:21,533 10476 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeNavigateTo(WebEventListener.java:35) - Before navigating to: 'http://demo-store.seleniumacademy.com/'
62 2022/07/06 16:50:21,541 10484 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterNavigateTo(WebEventListener.java:40) - Navigated to:'http://demo-store.seleniumacademy.com/'
63 2022/07/06 16:50:21,634 10577 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //a[text()='Women']
64 2022/07/06 16:50:27,909 16852 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //a[text()='Women']
65 2022/07/06 16:50:27,915 16858 [INFO  ] [main] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:318) - Trying to click on element: [[ChromeDriver: chrome on WINDOWS (eb240ec530b52814f14fed16e4ca2c50)] -> xpath: //a[text()='Women']]
66 2022/07/06 16:50:42,592 31535 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //a[text()='Women']
67 2022/07/06 16:50:42,605 31548 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //a[text()='Women']
68 2022/07/06 16:50:42,605 31548 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeClickOn(WebEventListener.java:58) - Trying to click on: [[ChromeDriver: chrome on WINDOWS (eb240ec530b52814f14fed16e4ca2c50)] -> xpath: //a[text()='Women']]
69 2022/07/06 16:50:42,645 31588 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterClickOn(WebEventListener.java:64) - Clicked on: [[ChromeDriver: chrome on WINDOWS (eb240ec530b52814f14fed16e4ca2c50)] -> xpath: //a[text()='Women']]
70 2022/07/06 16:50:42,646 31589 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //a[text()='Women']
71 2022/07/06 16:50:43,498 32441 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //a[text()='Women']
72 2022/07/06 16:50:43,499 32442 [INFO  ] [main] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:321) - element clicked : [[ChromeDriver: chrome on WINDOWS (eb240ec530b52814f14fed16e4ca2c50)] -> xpath: //a[text()='Women']]
73 2022/07/06 16:50:44,011 32954 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //h1[text()='Women']
74 2022/07/06 16:50:44,024 32967 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //h1[text()='Women']
75 2022/07/06 16:50:46,545 35488 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeNavigateTo(WebEventListener.java:35) - Before navigating to: 'http://demo-store.seleniumacademy.com/'
76 2022/07/06 16:50:46,552 35495 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterNavigateTo(WebEventListener.java:40) - Navigated to:'http://demo-store.seleniumacademy.com/'
77 2022/07/06 16:51:08,767 57710 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.id: search
78 2022/07/06 16:51:08,777 57720 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.id: search
79 2022/07/06 16:51:08,822 57765 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //button[@title='Search']
80 2022/07/06 16:51:08,834 57777 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //button[@title='Search']
81 2022/07/06 16:51:08,834 57777 [INFO  ] [main] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:318) - Trying to click on element: [[ChromeDriver: chrome on WINDOWS (af0f3941ae3a145b3a4081f7eb358dbd)] -> xpath: //button[@title='Search']]
82 2022/07/06 16:51:12,865 61808 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //button[@title='Search']
83 2022/07/06 16:51:12,874 61817 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //button[@title='Search']
84 2022/07/06 16:51:12,874 61817 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeClickOn(WebEventListener.java:58) - Trying to click on: [[ChromeDriver: chrome on WINDOWS (af0f3941ae3a145b3a4081f7eb358dbd)] -> xpath: //button[@title='Search']]
85 2022/07/06 16:51:12,918 61861 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterClickOn(WebEventListener.java:64) - Clicked on: [[ChromeDriver: chrome on WINDOWS (af0f3941ae3a145b3a4081f7eb358dbd)] -> xpath: //button[@title='Search']]
86 2022/07/06 16:51:12,918 61861 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //button[@title='Search']
87 2022/07/06 16:51:13,987 62930 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //button[@title='Search']
88 2022/07/06 16:51:13,988 62931 [INFO  ] [main] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:321) - element clicked : [[ChromeDriver: chrome on WINDOWS (af0f3941ae3a145b3a4081f7eb358dbd)] -> xpath: //button[@title='Search']]
89 2022/07/06 16:51:14,490 63433 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeFindBy(WebEventListener.java:103) - Trying to find Element By : By.xpath: //h1[contains(text(),'shirts')]
90 2022/07/06 16:51:14,504 63447 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.afterFindBy(WebEventListener.java:109) - Found Element By : By.xpath: //h1[contains(text(),'shirts')]
91 2022/07/06 16:51:17,110 66053 [INFO  ] [main] qa.utils.WebEventListener qa.utils.WebEventListener.beforeNavigateTo(WebEventListener.java:35) - Before navigating to: 'http://demo-store.seleniumacademy.com/'
