1 2022/08/19 18:32:29,991 2738 [DEBUG ] [TestNG-test=Chrometest-5] internal.logging.InternalLoggerFactory internal.logging.InternalLoggerFactory.useLog4J2LoggerFactory(InternalLoggerFactory.java:76) - Using Log4J2 as the default logging framework
2 2022/08/19 18:32:30,001 2748 [DEBUG ] [TestNG-test=Chrometest-5] netty.util.ResourceLeakDetector netty.util.ResourceLeakDetector.<clinit>(ResourceLeakDetector.java:129) - -Dio.netty.leakDetection.level: simple
3 2022/08/19 18:32:30,001 2748 [DEBUG ] [TestNG-test=Chrometest-5] netty.util.ResourceLeakDetector netty.util.ResourceLeakDetector.<clinit>(ResourceLeakDetector.java:130) - -Dio.netty.leakDetection.targetRecords: 4
4 2022/08/19 18:32:30,008 2755 [DEBUG ] [TestNG-test=Chrometest-5] netty.util.ResourceLeakDetectorFactory netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(ResourceLeakDetectorFactory.java:196) - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@5bb7acdb
5 2022/08/19 18:32:30,030 2777 [DEBUG ] [TestNG-test=Chrometest-5] util.internal.PlatformDependent0 util.internal.PlatformDependent0.explicitNoUnsafeCause0(PlatformDependent0.java:460) - -Dio.netty.noUnsafe: false
6 2022/08/19 18:32:30,031 2778 [DEBUG ] [TestNG-test=Chrometest-5] util.internal.PlatformDependent0 util.internal.PlatformDependent0.javaVersion0(PlatformDependent0.java:954) - Java version: 16
7 2022/08/19 18:32:30,032 2779 [DEBUG ] [TestNG-test=Chrometest-5] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:135) - sun.misc.Unsafe.theUnsafe: available
8 2022/08/19 18:32:30,033 2780 [DEBUG ] [TestNG-test=Chrometest-5] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:159) - sun.misc.Unsafe.copyMemory: available
9 2022/08/19 18:32:30,034 2781 [DEBUG ] [TestNG-test=Chrometest-5] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:202) - java.nio.Buffer.address: available
10 2022/08/19 18:32:30,034 2781 [DEBUG ] [TestNG-test=Chrometest-5] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:285) - direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
11 2022/08/19 18:32:30,035 2782 [DEBUG ] [TestNG-test=Chrometest-5] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:350) - java.nio.Bits.unaligned: available, true
